post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-06 12:44:56,0.753731343283582,False
47616157,Software never had a soul,worldnews,20,17,firloop,2026-04-06 12:45:08,0.8095238095238095,False
47651502,The Therac-25 software radiation disaster,worldnews,7,2,bithavoc,2026-04-06 12:45:12,0.25,False
47650022,Banray.eu: Raising awareness of the terrible idea that is always-on AI glasses,worldnews,35,19,ChrisArchitect,2026-04-06 12:45:12,0.5277777777777778,False
47633734,ENiGMA½ BBS Software,worldnews,10,1,NuSkooler,2026-04-06 12:45:32,0.09090909090909091,False
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,159,105,keepamovin,2026-04-06 12:45:40,0.65625,False
47637377,LÖVE: 2D Game Framework for Lua,sports,331,162,cl3misch,2026-04-06 12:45:40,0.4879518072289157,True
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,219,143,pseudolus,2026-04-06 12:46:56,0.65,True
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-06 12:47:01,0.16,False
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,781,365,hkmaxpro,2026-04-06 12:47:22,0.46675191815856776,True
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-06 12:47:24,0.9384615384615385,False
47641615,Sopwith – 1984 Game (2000),sports,97,42,elvis70,2026-04-06 12:47:28,0.42857142857142855,False
47650234,Panorama – AI that finds your team's workflows and hidden structures,sports,6,0,bryantwolf,2026-04-06 12:47:36,0.0,False
47651019,PS3 emulator makes Cell CPU breakthrough that improves performance in all games,sports,8,0,gloxkiqcza,2026-04-06 12:49:03,0.0,False
47642552,Nandgame – Build a Computer from Scratch,sports,7,0,Vortigaunt,2026-04-06 12:49:13,0.0,False
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",sports,25,14,arttaboi,2026-04-06 12:49:29,0.5384615384615384,False
47632901,Sandbox Strategy Game for AI,sports,6,0,Stefan_Golas,2026-04-06 12:49:54,0.0,False
47602986,Show HN: Real-time dashboard for Claude Code agent teams,sports,76,28,simple10,2026-04-06 12:50:04,0.36363636363636365,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,82,37,salt4034,2026-04-06 12:50:49,0.4457831325301205,False
47650502,Computational Physics (2nd Edition) (2025),science,154,20,teleforce,2026-04-06 12:50:55,0.12903225806451613,False
47648404,My Google Workspace account suspension,science,356,210,zenincognito,2026-04-06 12:51:18,0.5882352941176471,True
47629485,A case study in testing with 100+ Claude agents in parallel,science,63,50,thejash,2026-04-06 12:51:43,0.78125,False
47611993,VR Realizes the Cyberspace Metaphor,science,17,17,dryadin,2026-04-06 12:52:14,0.9444444444444444,False
47604155,SpaceX files to go public,science,398,576,nutjob2,2026-04-06 12:53:02,1.443609022556391,True
47648226,SpaceX and OpenAI: The Mega IPO Grift [video],science,26,10,throw0101c,2026-04-06 12:53:04,0.37037037037037035,False
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",science,98,42,Bender,2026-04-06 12:53:44,0.42424242424242425,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-06 12:54:13,0.14634146341463414,False
47656678,"Musk asks SpaceX IPO banks to buy Grok AI subscriptions, NYT reports",science,8,0,1vuio0pswjnm7,2026-04-06 12:54:17,0.0,False
47602598,An experimental guide to Answer Engine Optimization,science,9,3,rosslh,2026-04-06 12:54:19,0.3,False
47645926,The Spaceballs sequel will be released in April next year,science,8,1,WaitWaitWha,2026-04-06 12:54:29,0.1111111111111111,False
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,14,11,bookmtn,2026-04-06 12:54:41,0.7333333333333333,False
47654226,Trump proposes steep cut to NASA budget as astronauts head for the Moon,science,8,0,rbanffy,2026-04-06 12:55:10,0.0,False
47645696,Towards end-to-end automation of AI research,science,6,0,hardmaru,2026-04-06 12:55:21,0.0,False
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,259,158,nevernothing,2026-04-06 12:55:49,0.6076923076923076,True
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,68,14,mohshomis,2026-04-06 12:55:57,0.2028985507246377,False
47649721,Artemis II crew see first glimpse of far side of Moon [video],entertainment,493,377,mooreds,2026-04-06 12:56:01,0.7631578947368421,True
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,73,9,lexalizer,2026-04-06 12:56:18,0.12162162162162163,False
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,165,28,laszlokorte,2026-04-06 12:56:20,0.1686746987951807,False
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,112,49,waveywaves,2026-04-06 12:56:21,0.4336283185840708,False
47645432,Introduction to Computer Music (2009) [pdf],entertainment,225,78,luu,2026-04-06 12:56:32,0.34513274336283184,True
47613118,Show HN: I built a small app for FSI German Course,entertainment,51,15,syedmsawaid,2026-04-06 12:56:38,0.28846153846153844,False
47653471,"Musician says AI company is cloning her music, filing claims against her",entertainment,113,19,lando2319,2026-04-06 12:56:39,0.16666666666666666,False
47654649,Introducing GEN-1 [video],entertainment,53,7,dgellow,2026-04-06 12:56:39,0.12962962962962962,False
47655078,Show HN: Mdarena – Benchmark your Claude.md against your own PRs,entertainment,21,3,hudsongr,2026-04-06 12:56:48,0.13636363636363635,False
47625952,Show HN: I built a frontpage for personal blogs,entertainment,770,194,ramkarthikk,2026-04-06 12:56:54,0.251621271076524,True
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,154,17,kaipereira,2026-04-06 12:56:58,0.10967741935483871,False
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",entertainment,181,89,jrandolf,2026-04-06 12:57:00,0.489010989010989,True
47624645,Show HN: Apfel – The free AI already on your Mac,entertainment,729,152,franze,2026-04-06 12:57:01,0.20821917808219179,True
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,162,6,teamchong,2026-04-06 12:57:13,0.03680981595092025,False
